"","Country.Name","Surviveto65Female2014","Survivorto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","RuralPop2014","Sanitation2014","CO22014","Greenhouse2012","Education2014","Water2014"
"37","Congo Dem. Rep.",59.9020046,54.1071378,60.282,57.378,58.828,19.38299666,3.97941198,36993481,36773966,57.82,20.45535087,4671.758,802271.3028,6,41.81209134
"38","Congo Rep.",62.1031514,57.0565672,63.765,61.342,62.582,72.462584,2.50741981,2374829,2362145,34.915,18.33936041,3094.948,35743.91852,10,70.10704428
"39","Costa Rica",89.7301268,82.3220616,81.989,76.886,79.398,829.5610887,7.80327592,2395477,2399919,24.059,96.98519347,7759.372,12274.13409,13,99.29519977
"40","Cote d'Ivoire",50.1946962,45.2909334,56.791,54.375,55.508,79.05314337,5.04346217,11185036,11462647,50.986,29.80713259,11045.004,33502.16024,10,72.54595644
"41","Croatia",90.6746644,79.0788482,80.5,74.6,77.47804878,957.6612413,7.05065058,2200161,2038228,44.077,96.46231534,16842.531,30421.04936,8,99.5869117
"42","Cuba",87.5487778,81.8919446,80.5,76.565,78.521,855.9892766,12.14082739,5687214,5619688,23.139,91.98455215,34836.5,52418.45565,9,95.05771132
"43","Cyprus",93.4902222,87.8862858,82.391,77.973,80.178,1847.553623,6.78616827,575618,576667,32.969,99.30799101,6061.551,7431.193453,10,99.64267564
"44","Czech Republic",90.7693338,81.0633314,82,75.8,78.82439024,1512.926186,7.65308523,5354302,5171045,26.616,99.13588778,96475.103,138957.4247,9,99.88001589
"45","Denmark",90.7970094,85.5559782,82.8,78.7,80.7,6380.784408,10.17190456,2837901,2805574,12.59,99.59723343,33498.045,53703.22393,10,100.0000022
"46","Djibouti",66.536607,59.8633678,65.021,61.516,63.171,72.04343175,4.13814365,422307,476389,22.686,59.83668488,722.399,2766.303815,10,75.55610187
"47","Dominican Republic",80.52836,69.9841838,76.273,69.97,73.003,371.2344003,5.92203373,5073654,5091524,22.33,82.82925933,21539.958,33395.08443,15,95.80037029
"48","Ecuador",84.6273562,75.9742578,78.81,73.152,75.923,551.4692807,8.62127454,7965754,7986084,36.739,84.99544689,43919.659,52746.57269,15,92.35829865
"49","Egypt Arab Rep.",79.996711,69.826001,73.36,68.974,71.117,153.7887639,4.69173709,44727497,45697157,57.161,93.85249733,201894.019,295499.7454,9,98.88797584
"50","El Salvador",82.6794836,64.4141086,76.703,67.354,72.175,276.2230027,6.92507738,3331689,2963439,31.126,86.78163135,6285.238,12577.78974,15,94.84167899
"51","Equatorial Guinea",54.7320778,49.2706006,58.266,55.935,57.001,337.5628951,1.77640373,503347,618929,29.917,66.11511289,5346.486,6374.171054,6,63.92647586
"52","Estonia",89.9204,73.791462,81.9,72.4,77.03414634,1237.272333,6.20800935,700674,613871,31.731,99.1256841,19519.441,23292.77921,9,99.70941265
"53","Eswatini",46.3298116,29.5018354,57.322,50.263,53.569,251.9196273,7.59077143,569813,525208,76.851,57.37060718,1202.776,3478.034532,7,66.92127799
